Code,Area_name,priceper,year,dateoftransfer,propertytype,duration,price,postcode,lad21cd,transactionid,id,tfarea,numberrooms,classt,CURRENT_ENERGY_EFFICIENCY,POTENTIAL_ENERGY_EFFICIENCY,CONSTRUCTION_AGE_BAND
E09000033,Westminster,10978.26087,2020,2020/12/18,F,L,1010000,W1H5LP,E09000033,{BC8936BB-C83E-0E2C-E053-6C04A8C0DBF4},18993346,92,4,11,78,81,England and Wales: 1983-1990
E09000019,Islington,10981.83176,2020,2020/12/17,T,F,1765000,N70HD,E09000019,{BC8936BB-C660-0E2C-E053-6C04A8C0DBF4},17691865,160.72,8,11,52,60,England and Wales: 1900-1929
E09000007,Camden,10986.84211,2020,2020/12/7,F,L,835000,NW61DL,E09000007,{BA558B32-DA36-76EF-E053-6B04A8C0B4B7},16534570,76,4,11,63,76,England and Wales: 1900-1929
E09000018,Hounslow,10992.9078,2020,2020/12/18,T,F,1550000,W41PE,E09000018,{BC8936BB-C41A-0E2C-E053-6C04A8C0DBF4},17591144,141,5,12,67,77,England and Wales: before 1900
E09000020,Kensington and Chelsea,10993.9759,2020,2020/12/9,F,L,3650000,W148JF,E09000020,{BA558B32-2769-76EF-E053-6B04A8C0B4B7},17785959,332,8,11,67,83,England and Wales: 1900-1929
E09000007,Camden,11000,2020,2020/12/8,F,L,550000,NW61QZ,E09000007,{BA558B32-D8A0-76EF-E053-6B04A8C0B4B7},16561357,50,2,11,43,78,England and Wales: 1900-1929
E09000027,Richmond upon Thames,11010.86879,2020,2020/12/21,F,L,620000,TW106LN,E09000027,{BC8936BB-E6ED-0E2C-E053-6C04A8C0DBF4},18391734,56.308,3,11,69,73,England and Wales: before 1900
E09000007,Camden,11016.94915,2020,2020/12/8,F,L,1300000,NW17SA,E09000007,{BC8936BB-C98F-0E2C-E053-6C04A8C0DBF4},16567000,118,,11,86,86,NO DATA!
E09000027,Richmond upon Thames,11024.84472,2020,2020/12/9,S,F,3550000,SW139QE,E09000027,{BA558B33-13AA-76EF-E053-6B04A8C0B4B7},18370119,322,9,11,68,78,England and Wales: 1900-1929
E09000014,Haringey,11029.41176,2020,2020/12/17,F,L,1125000,N65AH,E09000014,{BA558B32-6CD2-76EF-E053-6B04A8C0B4B7},17297881,102,4,11,57,77,England and Wales: before 1900
E09000031,Waltham Forest,11030.76923,2020,2020/12/17,T,F,717000,E177QF,E09000031,{BC8936BB-C697-0E2C-E053-6C04A8C0DBF4},18737049,65,4,11,67,89,England and Wales: 1900-1929
E09000027,Richmond upon Thames,11036.36364,2020,2020/12/18,T,F,607000,TW118HQ,E09000027,{BC8936BB-E6B4-0E2C-E053-6C04A8C0DBF4},18397933,55,3,11,64,91,England and Wales: before 1900
E09000009,Ealing,11036.58537,2020,2020/12/11,T,F,905000,W139UT,E09000009,{BA558B32-1B65-76EF-E053-6B04A8C0B4B7},16755614,82,5,11,58,87,England and Wales: 1900-1929
E09000013,Hammersmith and Fulham,11040,2020,2020/12/9,T,F,1380000,W60HE,E09000013,{BC8936BB-B424-0E2C-E053-6C04A8C0DBF4},17220913,125,6,12,49,82,England and Wales: 1900-1929
E09000019,Islington,11044.77612,2020,2020/12/10,F,L,740000,N18GB,E09000019,{BA558B32-6DF6-76EF-E053-6B04A8C0B4B7},17702405,67,3,11,77,80,England and Wales: 2003-2006
E09000020,Kensington and Chelsea,11048.3871,2020,2020/12/2,F,L,685000,W105SN,E09000020,{BC8936BB-3A0D-0E2C-E053-6C04A8C0DBF4},17800798,62,,11,84,84,NO DATA!
E09000030,Tower Hamlets,11057.69231,2020,2020/12/9,T,F,1150000,E20NN,E09000030,{BC8936BB-7091-0E2C-E053-6C04A8C0DBF4},18614255,104,5,11,65,81,England and Wales: before 1900
E09000028,Southwark,11057.69231,2020,2020/12/2,F,L,575000,SE16FB,E09000028,{BC8936BC-05F9-0E2C-E053-6C04A8C0DBF4},18495453,52,,11,84,84,NO DATA!
E09000007,Camden,11062.99213,2020,2020/12/4,F,L,1405000,NW34HL,E09000007,{BA558B32-D820-76EF-E053-6B04A8C0B4B7},16549333,127,5,11,64,77,England and Wales: 1900-1929
E09000011,Greenwich,11071.42857,2020,2020/12/4,T,F,620000,SE108HR,E09000011,{BC8936BC-0879-0E2C-E053-6C04A8C0DBF4},17038067,56,3,12,69,89,England and Wales: 1976-1982
